"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D58,D17,D55,D46,D40,D15,D54,D56,D5,D13,D32,D26,D7,D2,D21,D18,D37,D42,D33,D11,D27,D12,D25,D34,D4,D50,D51,D0,D1,D47,D6,D24,D3,D16,D35,D43,D45,D22,D48_RH10,D20,D38_RH10,D14,D31,D44,D52,D36,D41,D28_RH10,D23,D18_RH10,D08_RH10,D30,D10,D57,D53";"D_SOD-123_DO-35_Hybrid_DoubleSided";55;"D";;;
2;"SW31,SW55,SW16,SW6,SW14,SW43,SW50,SW22,SW4,SW7,SW52,SW44,SW26,SW56,SW46,SW5,SW10,SW35,SW15,SW21,SW17,SW30,SW57,SW24,SW1,SW2,SW20,SW42,SW34,SW0,SW58,SW3,SW36,SW40,SW25,SW32,SW11,SW54,SW45,SW51,SW23,SW13,SW33,SW12,SW53";"Cherry_MX_DS_Hotswap_1U_sofle3b v3";45;"SW_PUSH_LED";;;
3;"H24,H18,H12,H19,H17,H25,H16,H22,H23,H13,H21,H20,H15,H11,H14";"M2_Hole_fancy_for_bolt-on-plate";15;"MountingHole";;;
4;"J12";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Socket";;;
5;"H7,H5,H2,H4,H10,H3,H6,H1,H8,H9";"Hole from sofle for M2 posts gold rimmer";10;"MountingHole";;;
6;"SW27";"V2_CherryMX_DoubleSided_Hotswap_miniE_1.5u_LH_1u_RH";1;"SW_PUSH_LED";;;
7;"REF**,REF**,REF**,REF**";"slot 24mm";4;"slot 24mm";;;
8;"SW18_RH10,SW38_RH10";"Cherry_MX_DS_Hotswap_1U_oneside";2;"SW_PUSH_LED";;;
9;"J11";"MJ-4PP-9_CANTOR_KITCHEN_SINK";1;"4PIN";;;
10;"S1";"uxcell a14092600ux0438 solenoid";1;"Solenoid";;;
11;"SW37";"V2_CherryMX_DoubleSided_Hotswap_miniE_1.75u_LH_1u_RH";1;"SW_PUSH_LED";;;
12;"REF**";"Tenting_Puck.kicad_mod_nocenter";1;"Tenting Puck";;;
13;"D_SOL_1";"MUR340S_IN4001_TH_HYBRID";1;"MUR340S";;;
14;"J10";"Pimaroni_PinHeader_1x05_P2.54mm_Vertical Sofle v3b";1;"Pimaroni Trackball";;;
15;"SW48_RH10";"V2_CherryMX_DoubleSided_Hotswap_miniE_2.25u_RH_ONLY";1;"SW_PUSH_LED";;;
16;"SW08_RH10";"V2_CherryMX_DoubleSided_Hotswap_miniE_2u_RH_ONLY";1;"SW_PUSH_LED";;;
17;"SW28_RH10";"V2_CherryMX_DoubleSided_Hotswap_miniE_1.5u_RH_ONLY";1;"SW_PUSH_LED";;;
18;"SW47";"V2_CherryMX_DoubleSided_Hotswap_miniE_2.25u_LH_2.75u_RH";1;"SW_PUSH_LED";;;
19;"SWLH_ROT1";"RotaryEncoder_EC11_ergodonk_variant";1;"RotaryEncoder_Switch";;;
20;"SW18";"Bourns Hollow Encoder high plate_donk_holes";1;"RotaryEncoder";;;
21;"Q1";"TO-220-3_Horizontal_TabDown";1;"TIP120";;;
22;"U11";"RPi_Pico_SMD_TH_DS_Simple_v1";1;"Pico";;;
23;"J_SOL_1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
24;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k";;;
